term,catalog_year,prefix,number,title,description,units,sections_offered,url
Fall 2025,2025-2026,,,BIO 433CH - Bioethics - Honors,"This course introduces students to bioethics as an interdisciplinary subject through critical thinking, writing, and discussing contemporary issues. Bioethics considers the ethical principles and values relevant to life, and their application to the use of technology. This course examines some major moral issues involved in the practice and research of medicine, health care, and biological research methods. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=014358&term=1257
Fall 2025,2025-2026,ACC,205,Introduction To Business Law,"An introduction to business-related legal, regulatory, global, and ethical issues. Topics include contract law, intellectual property, employment law, business structures, and alternative dispute resolution. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000799&term=1257
Fall 2025,2025-2026,ACC,205H,Introduction To Business Law - Honors,"An introduction to business-related legal, regulatory, global, and ethical issues. Topics include contract law, intellectual property, employment law, business structures, and alternative dispute resolution. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=010175&term=1257
Fall 2025,2025-2026,ACC,340,Accounting Ethics,"This course is a study of accounting ethics, related professional responsibilities and their relationships with business issues. It covers the identification of ethical issues, analysis of the issues using a multiple frameworks and theories, and development of conclusions and action items to resolve those issues. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=011912&term=1257
Fall 2025,2025-2026,ACC,340H,Accounting Ethics - Honors,"This course is a study of accounting ethics, related professional responsibilities and their relationships with business issues. It covers the identification of ethical issues, analysis of the issues using a multiple frameworks and theories, and development of conclusions and action items to resolve those issues. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013386&term=1257
Fall 2025,2025-2026,ACC,365,Risk Management And Compliance,"Businesses must comply with certain policies and laws as set forth by the government. This course examines the development of the relationship between businesses and the government, exploring ethical decision-making and high-risk choices that may lead to legal and financial repercussions. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014413&term=1257
Fall 2025,2025-2026,ACC,405,Advanced Business Law,"In-depth study of legal issues related to advising businesses from an accounting or senior management perspective, including contract law, securities law, administrative law, employment law, ethics and other legal topics.  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000802&term=1257
Fall 2025,2025-2026,ACC,580,Advanced Auditing,"This is an advanced course in auditing and assurance services that builds on what was learned in the introductory auditing course. It covers professional ethics and responsibilities as well as the skills needed to perform auditing, attestation, and accounting and review service engagements. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000048&term=1257
Fall 2025,2025-2026,ANT,467,Storytelling Matters: Publishing Knowledge In Multiple Forms,"Stories make up the foundation of the social sciences. This workshop-style course includes skills to identify and craft stories, find audiences, and submit work for publication in different types of outlets. Students may choose to craft manuscripts for scholarly journals, policy briefs, news articles, literary works, or other media based on data collection and research and/or personal experience. Content includes ethics and practices of authorship and storytelling for public scholarship. Course is co-convened and includes an element of mentorship between graduate and undergraduate students. Co-convened with ANT 567. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014444&term=1257
Fall 2025,2025-2026,ANT,520,Ethics In Anthropological Research,Explores ethical principles and dilemmas encountered in anthropological research. Includes principles for protecting humans in research and strategies for thinking through ethical dilemmas in anthropological research. M.A. in Anthropology or Senior-level undergraduate major in Anthropology. Letter grade only.,1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012298&term=1257
