prefix,total_courses
ACC,38
ACM,10
ADV,16
AHB,10
AIS,44
ANS,3
ANT,116
APMS,20
ARB,4
ARE,16
ARH,36
ART,67
AS,35
ASN,8
AST,56
AT,29
BA,29
BBA,76
BE,11
BIO,214
BME,37
BSC,33
BSCI,7
BUS,3
CAL,4
CCHE,26
CCJ,87
CCS,18
CENE,113
CENS,7
CHI,14
CHM,78
CIE,9
CIT,43
CLA,7
CM,40
CMF,49
COM,54
CPP,34
CS,83
CSD,60
CST,65
CTE,40
CYB,16
DH,33
DIS,39
ECI,130
ECO,44
EDF,34
EDL,42
EDR,15
EDU,33
EE,71
EES,24
EGR,19
EMGT,8
ENG,234
ENT,6
ENTY,6
ENV,78
EPS,100
ES,56
ESE,98
ETC,21
FIN,39
FIT,2
FOR,145
FRE,37
FW,21
FYS,6
GCS,4
GER,30
GLG,64
GRK,5
GSP,92
HA,71
HHS,4
HIS,143
HISY,1
HON,30
HPI,1
HS,61
HUM,44
ICJ,3
ID,28
IH,8
INF,65
INT,12
ISM,27
ITA,14
ITG,8
JLS,35
JPN,17
JUS,39
LAN,24
LAS,7
LAT,1
LEA,22
MAT,103
ME,76
MER,22
MGBA,17
MGT,33
MKT,34
MOL,11
MS,26
MST,11
MUP,60
MUS,100
NAU,10
NAUY,8
NAV,13
NSE,6
NTS,42
NUR,154
OTD,49
PADM,23
PE,12
PHA,58
PHI,73
PHO,35
PHS,9
PHY,63
PM,8
POR,2
POS,164
PR,18
PRM,67
PSY,114
PT,69
REL,51
RUS,7
SA,107
SBS,9
SE,6
SIMY,2
SOC,91
SPA,88
STA,42
STR,8
SUS,31
SW,55
SYS,4
TH,68
TSM,24
USC,6
VC,39
WGS,50
,1
